<0.0000e+00 0.0000e+00>
<1249625.496119189 2729863.7954363134>
<1248291.817201671 2736923.0921909353>
<1246947.6424218088 2743966.201389778>
<1245593.1570032113 2750993.09993233>
<1244228.5456447455 2758003.7670868887>
<1242853.9924848804 2764998.1844763323>
<1241469.6810662528 2771976.3360632895>
<1240075.7943004633 2778938.2081346978>
<1238672.5144331157 2785883.789285755>
<1237260.02300911 2792813.0704032644>
<1235838.5008382 2799726.0446483763>
<1234408.1279608277 2806622.707438722>
<1232969.0836142453 2813503.056429946>
<1231521.5461989378 2820367.0914966385>
<1230065.6932453567 2827214.814712667>
<1228601.7013809767 2834046.230330909>
<1227129.74629769 2840861.344762394>
<1225650.0027195471 2847660.166554849>
<1224162.6443708583 2854442.7063706554>
<1222667.8439446692 2861208.976964221>
<1221165.773071622 2867958.993158768>
<1219656.6022892133 2874692.7718225424>
<1218140.5010114661 2881410.3318444476>
<1216617.6374990237 2888111.694109108>
<1215088.1788296825 2894796.8814713657>
<1213552.2908693743 2901465.9187302194>
<1212010.1382436126 2908118.832602202>
<1210461.884309416 2914755.6516942154>
<1208907.6911277205 2921376.406475817>
<1207347.7194362974 2927981.12925097>
<1205782.1286231857 2934569.854129266>
<1204211.0767006553 2941142.616996621>
<1202634.7202797146 2947699.4554854585>
<1201053.2145451738 2954240.4089443865>
<1199466.7132312781 2960765.5184073728>
<1197875.368597925 2967274.8265624335>
<1196279.3314074776 2973768.3777198377>
<1194678.7509021878 2980246.217779846>
<1193073.774782242 2986708.394199984>
<1191464.5491844427 2993154.955961869>
<1189851.2186615383 2999585.9535375955>
<1188233.9261622145 3006001.438855695>
<1186612.8130117592 3012401.46526668>
<1184988.018893414 3018786.0875081825>
<1183359.681830424 3025155.3616697066>
<1181727.9381687974 3031509.345157>
<1180092.9225607894 3037848.0966560617>
<1178454.7679491176 3044171.6760968054>
<1176813.605551924 3050480.144616382>
<1175169.5648484943 3056773.564522187>
<1173522.7735657413 3063051.9992545606>
<1171873.35766547 3069315.5133491997>
<1170221.4413324283 3075564.1723993>
<1168567.1469631537 3081798.0430174414>
<1166910.5951556321 3088017.1927972334>
<1165251.9046997682 3094221.690274742>
<1163591.1925686835 3100411.604889714>
<1161928.573910847 3106587.006946616>
<1160264.1620430476 3112747.9675755063>
<1158598.068444214 3118894.558692764>
<1156930.4027500926 3125026.8529616874>
<1155261.2727487849 3131144.9237529873>
